geometry,locationdesc,locationdesc,age,geographiclevel,locationdesc,locationdesc,blv_rate,blv_standardized
POINT (-66.93 17.97),Guanica Municipality,Guanica Municipality,All ages,County,Guanica Municipality,Guanica Municipality,24.53,9.178423236514522
POINT (-66.96 18.08),Sabana Grande Municipality,Sabana Grande Municipality,All ages,County,Sabana Grande Municipality,Sabana Grande Municipality,18.93,6.854771784232365
POINT (-66.36 18.08),Coamo Municipality,Coamo Municipality,All ages,County,Coamo Municipality,Coamo Municipality,16.72,5.937759336099584
POINT (-156.979972 21.188495),Kalawao County,Kalawao County,All ages,County,Kalawao County,Kalawao County,16.39,5.800829875518672
POINT (-66.86 18.03),Yauco Municipality,Yauco Municipality,All ages,County,Yauco Municipality,Yauco Municipality,15.95,5.618257261410788
POINT (-67.18 18.38),Aguada Municipality,Aguada Municipality,All ages,County,Aguada Municipality,Aguada Municipality,15.16,5.29045643153527
POINT (-66.16 18.11),Cayey Municipality,Cayey Municipality,All ages,County,Cayey Municipality,Cayey Municipality,15.16,5.29045643153527
POINT (-66.4 17.97),Santa Isabel Municipality,Santa Isabel Municipality,All ages,County,Santa Isabel Municipality,Santa Isabel Municipality,14.93,5.195020746887966
POINT (-66.47 18.33),Ciales Municipality,Ciales Municipality,All ages,County,Ciales Municipality,Ciales Municipality,14.43,4.987551867219916
POINT (-67.14 18.28),Anasco Municipality,Anasco Municipality,All ages,County,Anasco Municipality,Anasco Municipality,14.27,4.9211618257261405
POINT (-66.1 18.25),Aguas Buenas Municipality,Aguas Buenas Municipality,All ages,County,Aguas Buenas Municipality,Aguas Buenas Municipality,13.85,4.746887966804978
POINT (-67.25 18.34),Rincon Municipality,Rincon Municipality,All ages,County,Rincon Municipality,Rincon Municipality,13.44,4.576763485477178
POINT (-66.4 18.32),Morovis Municipality,Morovis Municipality,All ages,County,Morovis Municipality,Morovis Municipality,12.52,4.195020746887966
POINT (-66.29 17.97),Salinas Municipality,Salinas Municipality,All ages,County,Salinas Municipality,Salinas Municipality,12.34,4.1203319502074685
POINT (-106.957793 34.153828),Socorro County,Socorro County,All ages,County,Socorro County,Socorro County,12.24,4.078838174273859
POINT (-105.241049 35.99928),Mora County,Mora County,All ages,County,Mora County,Mora County,11.93,3.950207468879668
POINT (-88.079778 37.060704),Lyon County,Lyon County,All ages,County,Lyon County,Lyon County,11.1,3.605809128630705
POINT (-81.658541 37.389931),McDowell County,McDowell County,All ages,County,McDowell County,McDowell County,11.07,3.593360995850622
POINT (-108.549207 33.928093),Catron County,Catron County,All ages,County,Catron County,Catron County,10.6,3.398340248962655
POINT (-81.292207 32.994406),Allendale County,Allendale County,All ages,County,Allendale County,Allendale County,10.58,3.3900414937759336
POINT (-83.37768 37.520092),Breathitt County,Breathitt County,All ages,County,Breathitt County,Breathitt County,10.54,3.373443983402489
POINT (-66.24 18.3),Naranjito Municipality,Naranjito Municipality,All ages,County,Naranjito Municipality,Naranjito Municipality,10.53,3.369294605809128
POINT (-114.048035 44.285168),Custer County,Custer County,All ages,County,Custer County,Custer County,10.51,3.3609958506224062
POINT (-66.39 18.22),Orocovis Municipality,Orocovis Municipality,All ages,County,Orocovis Municipality,Orocovis Municipality,10.45,3.33609958506224
POINT (-66.26 18.14),Aibonito Municipality,Aibonito Municipality,All ages,County,Aibonito Municipality,Aibonito Municipality,10.38,3.307053941908714
POINT (-98.389589 27.729918),Duval County,Duval County,All ages,County,Duval County,Duval County,10.35,3.29460580912863
POINT (-91.50006 30.67107),Pointe Coupee Parish,Pointe Coupee Parish,All ages,County,Pointe Coupee Parish,Pointe Coupee Parish,10.2,3.2323651452282154
POINT (-88.095078 37.332496),Crittenden County,Crittenden County,All ages,County,Crittenden County,Crittenden County,10.08,3.1825726141078836
POINT (-83.701692 37.591773),Lee County,Lee County,All ages,County,Lee County,Lee County,10.04,3.1659751037344392
POINT (-81.971518 37.856637),Logan County,Logan County,All ages,County,Logan County,Logan County,10.03,3.1618257261410783
POINT (-66.15 18.17),Cidra Municipality,Cidra Municipality,All ages,County,Cidra Municipality,Cidra Municipality,9.88,3.099585062240664
POINT (-66.39 18.44),Vega Baja Municipality,Vega Baja Municipality,All ages,County,Vega Baja Municipality,Vega Baja Municipality,9.87,3.095435684647302
POINT (-119.753711 39.166134),Carson city,Carson city,All ages,County,Carson city,Carson city,9.86,3.0912863070539416
POINT (-88.350899 37.135813),Livingston County,Livingston County,All ages,County,Livingston County,Livingston County,9.68,3.0165975103734435
